Uniprot_A	Uniprot_B	Interaction	Protein_A_idx	Protein_B_idx
O15350	P01106	1	789	601
P05067	Q6ZW49	1	264	568
O14654	P07900	1	594	637
P01106	Q92993	1	601	755
P04637	Q01094	1	723	617
Q05639	Q12933	1	274	41
P0CG47	P19438	1	709	265
P07900	P08865	1	637	518
O60502	P01023	1	204	781
P12830	P60880	1	730	7
P11142	P38936	1	611	564
P00533	P09619	1	322	194
P68363	Q08209	1	3	74
P09651	P27348	1	78	500
O00499	O15350	1	36	789
P04637	P13639	1	723	183
P07900	Q07954	1	637	163
Q9UBN7	Q9Y2S7	1	722	627
P00441	P12277	1	361	699
P11473	P18146	1	311	256
P01106	Q00059	1	601	524
P04637	P19525	1	723	674
O00767	P00533	1	62	322
O75553	P98155	1	445	227
P05362	P60709	1	230	181
P06493	P23443	1	559	379
P08047	P35408	1	583	736
O75475	P20810	1	803	545
P01034	P54253	1	581	362
P02647	P27169	1	771	136
P01100	Q04760	1	602	718
P42704	P63104	1	386	295
P11021	P38398	1	812	551
P05067	P41231	1	264	501
P10415	P42574	1	634	817
P11279	Q92542	1	760	690
P36957	Q02218	1	319	398
P04637	P35354	1	723	224
P0CG47	Q14994	1	709	257
Q13131	Q13451	1	373	439
P04629	P09936	1	171	475
P38398	P38936	1	551	564
P04150	P14735	1	486	69
P17096	P19320	1	342	58
Q13501	Q16236	1	675	315
P11831	Q15650	1	52	777
P17600	Q13555	1	294	797
P08670	P47712	1	469	273
P01138	P04629	1	308	171
Q15078	Q9UQM7	1	293	114
P49841	Q9UBN7	1	412	722
P01023	P30519	1	781	263
O60502	P07900	1	204	637
P00734	P01008	1	130	339
P11802	P55072	1	170	495
Q12926	Q8IUH3	1	276	565
P01019	P01042	1	94	435
P22694	P62753	1	806	18
Q13501	Q9ULZ3	1	675	656
O95433	P06733	1	632	368
P04406	P14550	1	326	337
P10912	P46108	1	189	686
P15559	P34932	1	23	625
P14416	Q96BI3	1	334	689
P04040	P04629	1	147	171
P63104	Q01113	1	295	543
P04792	Q9UQ35	1	484	432
P25942	P34932	1	561	625
P12830	Q14511	1	730	97
P21333	P63104	1	489	295
P21796	P60709	1	401	181
O43889	P06681	1	436	101
P42345	Q13501	1	720	675
P49810	Q99828	1	283	215
P01009	P11021	1	332	812
O43889	P01374	1	436	260
O95477	P21980	1	688	210
P04629	Q6UB35	1	171	26
P25490	Q07812	1	506	773
P01023	P21397	1	781	307
P0CG47	P38398	1	709	551
P07900	P14672	1	637	374
P08575	P16070	1	9	538
P49841	Q13541	1	412	599
P0CG47	P16949	1	709	235
P42858	Q86TM6	1	64	770
P29474	P35222	1	301	345
P04275	P63000	1	420	44
P04629	P08133	1	171	349
P05067	P16671	1	264	397
P02751	P05198	1	333	207
P16284	P28482	1	290	558
O96017	P20700	1	499	400
Q92945	Q9NZC7	1	687	148
P05067	Q15257	1	264	234
P09874	P10275	1	752	54
O15350	P00519	1	789	782
P09622	P24752	1	776	496
P00533	P29466	1	322	552
P04406	P19838	1	326	492
P01100	P40189	1	602	567
P18848	P62753	1	411	18
P12004	P60174	1	814	544
P09874	P63165	1	752	577
O95477	P21333	1	688	489
A5A3E0	Q92185	1	537	188
P10809	P38398	1	529	551
P07237	P09651	1	535	78
O43889	Q9NZ42	1	436	660
P28482	P38398	1	558	551
P03372	Q16881	1	682	471
P60709	Q92731	1	181	312
P10636	P48730	1	588	228
P38398	P40763	1	551	190
P38398	Q13155	1	551	651
P04629	P21333	1	171	489
P04629	P26599	1	171	742
Q8IZY2	Q99523	1	696	647
P04406	P06493	1	326	559
Q13153	Q5S007	1	102	133
P49815	P62993	1	285	231
P02511	P02768	1	555	49
P15692	P31749	1	212	2
P31749	Q16539	1	2	759
P10275	Q13451	1	54	439
P42858	P78352	1	64	81
P04216	P42858	1	764	64
P28482	P30533	1	558	590
P01100	P12830	1	602	730
P0CG47	P63000	1	709	44
P19320	P28482	1	58	558
P12830	P18031	1	730	19
P00533	P12830	1	322	730
P07900	P31749	1	637	2
O00329	Q9Y4H2	1	447	213
Q13127	Q92769	1	141	683
P19838	P38646	1	492	351
P02751	Q9UMX0	1	333	403
P18031	P28482	1	19	558
P0CG47	P25705	1	709	785
P00533	P07900	1	322	637
P02787	P24593	1	654	453
P00734	P00750	1	130	157
P07900	Q96EB6	1	637	153
P16035	P20336	1	630	737
P09619	P19525	1	194	674
P02649	Q92673	1	59	11
P46527	P62993	1	512	231
P02766	P18848	1	53	411
P06702	Q16539	1	251	759
P49810	P55210	1	283	513
P11021	Q15165	1	812	372
P10415	P38646	1	634	351
P35222	P37231	1	345	259
P04179	P60174	1	110	544
P05067	P14735	1	264	69
P08138	Q9BZR6	1	346	168
P22415	Q9UBK2	1	708	711
P08670	P55072	1	469	495
P28223	P78352	1	313	81
P19838	P56524	1	492	504
P07550	P34810	1	664	352
P19838	P40763	1	492	190
P08138	P28482	1	346	558
P09211	P28482	1	431	558
P02751	P08865	1	333	518
O00213	P46531	1	729	269
P01137	P29279	1	314	280
O14939	P42345	1	430	720
Q92870	Q99523	1	819	647
P63165	Q9H3D4	1	577	125
P06733	P12830	1	368	730
O00206	P00533	1	143	322
P01106	P27361	1	601	180
P56524	Q9UQC2	1	504	245
P08758	P38398	1	767	551
P02545	P27348	1	42	500
P11831	P55212	1	52	515
P01137	P10147	1	314	83
P16220	Q6UUV9	1	468	278
Q99996	Q9NRI5	1	598	360
P02649	P26441	1	59	528
P06213	P40763	1	124	190
P00533	P09543	1	322	306
P04406	P14859	1	326	539
P02751	P32119	1	333	548
P17676	P35638	1	783	805
P63165	Q05193	1	577	108
P01009	P05091	1	332	299
P60709	Q16082	1	181	25
P14672	Q9UIQ6	1	374	697
P29474	P31749	1	301	2
P19838	P25705	1	492	785
P04629	Q16555	1	171	305
O60674	P30556	1	354	359
P06733	P27348	1	368	500
P19838	P27348	1	492	500
P05067	Q9UMX0	1	264	403
P08047	P29474	1	583	301
O43464	P05067	1	55	264
P00749	P98164	1	388	786
P00533	P08069	1	322	217
Q03135	Q15257	1	717	234
P04629	P09874	1	171	752
P03372	P32780	1	682	586
O95433	Q08752	1	632	416
P42574	Q16539	1	817	759
P25098	P30556	1	182	359
P08069	P40763	1	217	190
Q13469	Q96S59	1	111	657
O75791	P10275	1	73	54
P00533	P25705	1	322	785
P04406	P60709	1	326	181
P16070	P37173	1	538	343
P05067	Q13526	1	264	472
P05362	Q01105	1	230	309
Q8WXG6	Q9BRK5	1	219	604
P03372	Q07666	1	682	746
P04629	Q08752	1	171	416
P06493	Q96EB6	1	559	153
P01100	Q13427	1	602	208
P07237	P27797	1	535	221
P29474	Q9UQM7	1	301	114
P04406	P38398	1	326	551
O60674	P08069	1	354	217
P03372	P35568	1	682	113
P18433	P35408	1	626	736
P27361	P47712	1	180	273
P10809	P35558	1	529	348
P20333	Q9BXW9	1	739	87
P08047	Q92731	1	583	312
P02649	P98164	1	59	786
P05067	P35354	1	264	224
P07237	Q92731	1	535	312
P01106	P01584	1	601	574
P05231	P40189	1	51	567
P00533	Q02790	1	322	192
P55210	P63000	1	513	44
P04792	P31749	1	484	2
P03372	P04792	1	682	484
P37231	Q96S59	1	259	657
P09874	P10144	1	752	364
P11021	P55072	1	812	495
P05121	P08254	1	541	71
P04637	P51587	1	723	105
