Index	Uniprot_ID	Protein_names	Length	Organism_ID	Gene_name	Subcellular_location	GO(CC)	Tissue_specificity	GeneID	PDB	Degree	mean_score_top_10_pred
0	P31749	RAC-alpha serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase B) (PKB) (Protein kinase B alpha) (PKB alpha) (Proto-oncogene c-Akt) (RAC-PK-alpha)	480	9606	AKT1	Cytoplasm {ECO:0000250|UniProtKB:P31750}. Nucleus. Cell membrane {ECO:0000250|UniProtKB:P31750}. Note=Nucleus after activation by integrin-linked protein kinase 1 (ILK1). Nuclear translocation is enhanced by interaction with TCL1A. Phosphorylation on Tyr-176 by TNK2 results in its localization to the cell membrane where it is targeted for further phosphorylations on Thr-308 and Ser-473 leading to its activation and the activated form translocates to the nucleus. Colocalizes with WDFY2 in intracellular vesicles (PubMed:16792529). {ECO:0000269|PubMed:16792529}.	cell-cell junction [GO:0005911]; ciliary basal body [GO:0036064]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; microtubule cytoskeleton [GO:0015630]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; protein-containing complex [GO:0032991]; spindle [GO:0005819]; vesicle [GO:0031982]	Expressed in prostate cancer and levels increase from the normal to the malignant state (at protein level). Expressed in all human cell types so far analyzed. The Tyr-176 phosphorylated form shows a significant increase in expression in breast cancers during the progressive stages i.e. normal to hyperplasia (ADH), ductal carcinoma in situ (DCIS), invasive ductal carcinoma (IDC) and lymph node metastatic (LNMM) stages. {ECO:0000269|PubMed:1718748, ECO:0000269|PubMed:17932490, ECO:0000269|PubMed:20333297}.	207;	1H10;1UNP;1UNQ;1UNR;2UVM;2UZR;2UZS;3CQU;3CQW;3MV5;3MVH;3O96;3OCB;3OW4;3QKK;3QKL;3QKM;4EJN;4EKK;4EKL;4GV1;5KCV;6BUU;6CCY;6HHF;6HHG;6HHH;6HHI;6HHJ;6NPZ;6S9W;6S9X;	81	0.9653208971023559
1	P08779	Keratin, type I cytoskeletal 16 (Cytokeratin-16) (CK-16) (Keratin-16) (K16)	473	9606	KRT16		cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; intermediate filament [GO:0005882]; nucleus [GO:0005634]	Expressed in the hair follicle, nail bed and in mucosal stratified squamous epithelia and, suprabasally, in oral epithelium and palmoplantar epidermis. Also found in luminal cells of sweat and mammary gland ducts.	3868;	NA;	9	0.8674229681491852
2	P54274	Telomeric repeat-binding factor 1 (NIMA-interacting protein 2) (TTAGGG repeat-binding factor 1) (Telomeric protein Pin2/TRF1)	439	9606	TERF1	Nucleus. Cytoplasm, cytoskeleton, spindle. Chromosome, telomere. Note=Colocalizes with telomeric DNA in interphase and prophase cells. Telomeric localization decreases in metaphase, anaphase and telophase. Associates with the mitotic spindle.	cell [GO:0005623]; chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; fibrillar center [GO:0001650]; nuclear body [GO:0016604]; nuclear chromosome, telomeric region [GO:0000784]; nuclear telomere cap complex [GO:0000783]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; shelterin complex [GO:0070187]; spindle [GO:0005819]	Highly expressed and ubiquitous. Isoform Pin2 predominates.	7013;	1BA5;1H6O;1ITY;1IV6;1W0T;3BQO;3L82;5HKP;5WIR;5XUP;	27	0.9225584030151367
3	Q9Y478	5'-AMP-activated protein kinase subunit beta-1 (AMPK subunit beta-1) (AMPKb)	270	9606	PRKAB1		cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleotide-activated protein kinase complex [GO:0031588]; nucleus [GO:0005634]		5564;	4CFE;4CFF;4ZHX;5EZV;5ISO;6B1U;6C9F;6C9G;6C9H;6C9J;	16	0.9134066224098205
4	Q68CZ1	Protein fantom (Nephrocystin-8) (RPGR-interacting protein 1-like protein) (RPGRIP1-like protein)	1315	9606	RPGRIP1L	Cytoplasm. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000250|UniProtKB:Q8CG73, ECO:0000269|PubMed:21685204}. Cytoplasm, cytoskeleton, cilium axoneme. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q8CG73}. Cell junction, tight junction {ECO:0000250|UniProtKB:Q8CG73}. Note=In cultured renal cells, it localizes diffusely in the cytoplasm but, as cells approach confluence, it accumulates to basolateral tight junctions. Localizes to the ciliary transition zone. {ECO:0000250|UniProtKB:Q8CG73}.	axonemal microtubule [GO:0005879]; axoneme [GO:0005930]; bicellular tight junction [GO:0005923]; cell-cell junction [GO:0005911]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; ciliary rootlet [GO:0035253]; ciliary transition zone [GO:0035869]; cilium [GO:0005929]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; photoreceptor connecting cilium [GO:0032391]; plasma membrane [GO:0005886]	Ubiquitously expressed with relatively high level of expression in hypothalamus and islet. During early development, expressed in multiple organs including brain, eye, forelimb and kidney. {ECO:0000269|PubMed:17434869, ECO:0000269|PubMed:17558407, ECO:0000269|PubMed:17558409, ECO:0000269|PubMed:19464661}.	23322;	2YRB;	9	0.8765230357646943
5	P60880	Synaptosomal-associated protein 25 (SNAP-25) (Super protein) (SUP) (Synaptosomal-associated 25 kDa protein)	206	9606	SNAP25	Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:P60879}. Cell membrane {ECO:0000250|UniProtKB:P60881}; Lipid-anchor {ECO:0000250|UniProtKB:P60879}. Cell junction, synapse, synaptosome {ECO:0000250|UniProtKB:P60879}. Photoreceptor inner segment {ECO:0000250|UniProtKB:P60879}. Note=Membrane association requires palmitoylation. Expressed throughout cytoplasm, concentrating at the perinuclear region. Colocalizes with KCNB1 at the cell membrane (By similarity). Colocalizes with PLCL1 at the cell membrane (By similarity). {ECO:0000250|UniProtKB:P60879, ECO:0000250|UniProtKB:P60881}.	cell junction [GO:0030054]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; glutamatergic synapse [GO:0098978]; growth cone [GO:0030426]; membrane [GO:0016020]; neuron projection [GO:0043005]; perinuclear region of cytoplasm [GO:0048471]; photoreceptor inner segment [GO:0001917]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; presynaptic membrane [GO:0042734]; SNARE complex [GO:0031201]; somatodendritic compartment [GO:0036477]; specific granule membrane [GO:0035579]; synaptic vesicle [GO:0008021]; synaptobrevin 2-SNAP-25-syntaxin-1a-complexin I complex [GO:0070032]; tertiary granule membrane [GO:0070821]; trans-Golgi network [GO:0005802]	Neurons of the neocortex, hippocampus, piriform cortex, anterior thalamic nuclei, pontine nuclei, and granule cells of the cerebellum.	6616;	1KIL;1XTG;2N1T;3DDA;3DDB;3RK2;3RK3;3RL0;3ZUR;5W7I;5W7J;6JLH;	3	0.7157146632671356
6	P18054	Polyunsaturated fatty acid lipoxygenase ALOX12 (EC 1.13.11.-) (Arachidonate (12S)-lipoxygenase) (12S-LOX) (12S-lipoxygenase) (EC 1.13.11.31) (Arachidonate (15S)-lipoxygenase) (EC 1.13.11.33) (Linoleate (13S)-lipoxygenase) (Lipoxin synthase 12-LO) (EC 3.3.2.-) (Platelet-type lipoxygenase 12)	663	9606	ALOX12	Cytoplasm, cytosol. Membrane. Note=Membrane association is stimulated by EGF.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; sarcolemma [GO:0042383]	Expressed in vascular smooth muscle cells. {ECO:0000269|PubMed:23578768}.	239;	2ABU;3D3L;	3	0.7035436749458313
7	Q5EB52	Mesoderm-specific transcript homolog protein (EC 3.-.-.-) (Paternally-expressed gene 1 protein)	335	9606	MEST	Endoplasmic reticulum membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]	Highly expressed in hydatidiform moles, but barely expressed in dermoid cysts. Biallelic expression is detected in blood lymphocytes. Seems to imprinted in an isoform-specific manner rather than in a tissue-specific manner in lymphocytes. Isoform 1 is expressed only from the paternal allele. Isoform 2 is expressed from both the paternal allele and the maternal allele. {ECO:0000269|PubMed:8884280, ECO:0000269|PubMed:9192843}.	4232;	NA;	1	0.6096904814243317
8	P45844	ATP-binding cassette sub-family G member 1 (EC 7.6.2.-) (ATP-binding cassette transporter 8) (White protein homolog)	678	9606	ABCG1	Endoplasmic reticulum membrane {ECO:0000269|PubMed:22042635}; Multi-pass membrane protein {ECO:0000269|PubMed:22042635}. Golgi apparatus membrane {ECO:0000269|PubMed:22042635}; Multi-pass membrane protein {ECO:0000269|PubMed:22042635}. Cell membrane {ECO:0000269|PubMed:16702602, ECO:0000269|PubMed:24576892}. Note=Predominantly localized in the intracellular compartments mainly associated with the endoplasmic reticulum (ER) and Golgi membranes.	endoplasmic reticulum membrane [GO:0005789]; endosome [GO:0005768]; external side of plasma membrane [GO:0009897]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]	Expressed in several tissues. Expressed in macrophages; expression is increased in macrophages from patients with Tangier disease. {ECO:0000269|PubMed:11350058}.	9619;	NA;	1	0.6346915304660797
9	Q13887	Krueppel-like factor 5 (Basic transcription element-binding protein 2) (BTE-binding protein 2) (Colon krueppel-like factor) (GC-box-binding protein 2) (Intestinal-enriched krueppel-like factor) (Transcription factor BTEB2)	457	9606	KLF5	Nucleus {ECO:0000269|PubMed:15735697}.	Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription factor complex [GO:0005667]	Expressed only in testis and placenta.	688;	2EBT;	13	0.8684218227863312
