Index	Uniprot_ID	Protein_names	Length	Organism_ID	Gene_name	Subcellular_location	GO(CC)	Tissue_specificity	GeneID	PDB	Degree	mean_score_top_10_pred
0	P09603	Macrophage colony-stimulating factor 1 (CSF-1) (M-CSF) (MCSF) (Lanimostim) [Cleaved into: Processed macrophage colony-stimulating factor 1]	554	9606	CSF1	Cell membrane {ECO:0000269|PubMed:1531650, ECO:0000269|PubMed:3264877}; Single-pass type I membrane protein {ECO:0000269|PubMed:1531650, ECO:0000269|PubMed:3264877}.; [Processed macrophage colony-stimulating factor 1]: Secreted, extracellular space.	CSF1-CSF1R complex [GO:1990682]; endoplasmic reticulum lumen [GO:0005788]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; nuclear body [GO:0016604]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]		1435;	1HMC;3UEZ;3UF2;4ADF;4FA8;4WRL;4WRM;5LXF;	3	0.7690306603908539
1	Q9UQB3	Catenin delta-2 (Delta-catenin) (GT24) (Neural plakophilin-related ARM-repeat protein) (NPRAP) (Neurojungin)	1225	9606	CTNND2	Nucleus {ECO:0000250|UniProtKB:O35927}. Cell junction, adherens junction {ECO:0000250|UniProtKB:O35927}. Cell projection, dendrite {ECO:0000250|UniProtKB:O35116}. Perikaryon {ECO:0000269|PubMed:22022388}.	adherens junction [GO:0005912]; cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; nucleus [GO:0005634]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]	Expressed in brain; highest expression is observed in fetal brain (PubMed:25807484). {ECO:0000269|PubMed:25807484}.	1501;	NA;	9	0.837467622756958
2	P31749	RAC-alpha serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase B) (PKB) (Protein kinase B alpha) (PKB alpha) (Proto-oncogene c-Akt) (RAC-PK-alpha)	480	9606	AKT1	Cytoplasm {ECO:0000250|UniProtKB:P31750}. Nucleus. Cell membrane {ECO:0000250|UniProtKB:P31750}. Note=Nucleus after activation by integrin-linked protein kinase 1 (ILK1). Nuclear translocation is enhanced by interaction with TCL1A. Phosphorylation on Tyr-176 by TNK2 results in its localization to the cell membrane where it is targeted for further phosphorylations on Thr-308 and Ser-473 leading to its activation and the activated form translocates to the nucleus. Colocalizes with WDFY2 in intracellular vesicles (PubMed:16792529). {ECO:0000269|PubMed:16792529}.	cell-cell junction [GO:0005911]; ciliary basal body [GO:0036064]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; microtubule cytoskeleton [GO:0015630]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; protein-containing complex [GO:0032991]; spindle [GO:0005819]; vesicle [GO:0031982]	Expressed in prostate cancer and levels increase from the normal to the malignant state (at protein level). Expressed in all human cell types so far analyzed. The Tyr-176 phosphorylated form shows a significant increase in expression in breast cancers during the progressive stages i.e. normal to hyperplasia (ADH), ductal carcinoma in situ (DCIS), invasive ductal carcinoma (IDC) and lymph node metastatic (LNMM) stages. {ECO:0000269|PubMed:1718748, ECO:0000269|PubMed:17932490, ECO:0000269|PubMed:20333297}.	207;	1H10;1UNP;1UNQ;1UNR;2UVM;2UZR;2UZS;3CQU;3CQW;3MV5;3MVH;3O96;3OCB;3OW4;3QKK;3QKL;3QKM;4EJN;4EKK;4EKL;4GV1;5KCV;6BUU;6CCY;6HHF;6HHG;6HHH;6HHI;6HHJ;6NPZ;6S9W;6S9X;	87	0.9597809016704559
3	P68363	Tubulin alpha-1B chain (Alpha-tubulin ubiquitous) (Tubulin K-alpha-1) (Tubulin alpha-ubiquitous chain) [Cleaved into: Detyrosinated tubulin alpha-1B chain]	451	9606	TUBA1B	Cytoplasm, cytoskeleton.	cytoplasm [GO:0005737]; cytoplasmic microtubule [GO:0005881]; membrane raft [GO:0045121]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]		10376;	2E4H;5IJ0;5IJ9;5N5N;6E7B;6E7C;6I2I;6J4V;6QUS;6QUY;6QVE;6QVJ;6S8L;	30	0.9052614152431488
4	P30613	Pyruvate kinase PKLR (EC 2.7.1.40) (Pyruvate kinase 1) (Pyruvate kinase isozymes L/R) (R-type/L-type pyruvate kinase) (Red cell/liver pyruvate kinase)	574	9606	PKLR		cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]		5313;	2VGB;2VGF;2VGG;2VGI;4IMA;4IP7;6NN4;6NN5;6NN7;6NN8;	6	0.8042394042015075
5	P34995	Prostaglandin E2 receptor EP1 subtype (PGE receptor EP1 subtype) (PGE2 receptor EP1 subtype) (Prostanoid EP1 receptor)	402	9606	PTGER1	Cell membrane; Multi-pass membrane protein.	cell [GO:0005623]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	Abundant in kidney. Lower level expression in lung, skeletal muscle and spleen, lowest expression in testis and not detected in liver brain and heart.	5731;	NA;	4	0.708141541481018
6	Q9Y478	5'-AMP-activated protein kinase subunit beta-1 (AMPK subunit beta-1) (AMPKb)	270	9606	PRKAB1		cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleotide-activated protein kinase complex [GO:0031588]; nucleus [GO:0005634]		5564;	4CFE;4CFF;4ZHX;5EZV;5ISO;6B1U;6C9F;6C9G;6C9H;6C9J;	11	0.8855410933494567
7	P60880	Synaptosomal-associated protein 25 (SNAP-25) (Super protein) (SUP) (Synaptosomal-associated 25 kDa protein)	206	9606	SNAP25	Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:P60879}. Cell membrane {ECO:0000250|UniProtKB:P60881}; Lipid-anchor {ECO:0000250|UniProtKB:P60879}. Cell junction, synapse, synaptosome {ECO:0000250|UniProtKB:P60879}. Photoreceptor inner segment {ECO:0000250|UniProtKB:P60879}. Note=Membrane association requires palmitoylation. Expressed throughout cytoplasm, concentrating at the perinuclear region. Colocalizes with KCNB1 at the cell membrane (By similarity). Colocalizes with PLCL1 at the cell membrane (By similarity). {ECO:0000250|UniProtKB:P60879, ECO:0000250|UniProtKB:P60881}.	cell junction [GO:0030054]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; glutamatergic synapse [GO:0098978]; growth cone [GO:0030426]; membrane [GO:0016020]; neuron projection [GO:0043005]; perinuclear region of cytoplasm [GO:0048471]; photoreceptor inner segment [GO:0001917]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; presynaptic membrane [GO:0042734]; SNARE complex [GO:0031201]; somatodendritic compartment [GO:0036477]; specific granule membrane [GO:0035579]; synaptic vesicle [GO:0008021]; synaptobrevin 2-SNAP-25-syntaxin-1a-complexin I complex [GO:0070032]; tertiary granule membrane [GO:0070821]; trans-Golgi network [GO:0005802]	Neurons of the neocortex, hippocampus, piriform cortex, anterior thalamic nuclei, pontine nuclei, and granule cells of the cerebellum.	6616;	1KIL;1XTG;2N1T;3DDA;3DDB;3RK2;3RK3;3RL0;3ZUR;5W7I;5W7J;6JLH;	6	0.8035077273845672
8	Q9UM47	Neurogenic locus notch homolog protein 3 (Notch 3) [Cleaved into: Notch 3 extracellular truncation; Notch 3 intracellular domain]	2321	9606	NOTCH3	Cell membrane {ECO:0000269|PubMed:15350543}; Single-pass type I membrane protein.; [Notch 3 intracellular domain]: Nucleus. Note=Following proteolytical processing NICD is translocated to the nucleus.	actin cytoskeleton [GO:0015629]; cell surface [GO:0009986]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; extracellular region [GO:0005576]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	Ubiquitously expressed in fetal and adult tissues.	4854;	4ZLP;5CZV;5CZX;	12	0.8762589395046234
9	P08575	Receptor-type tyrosine-protein phosphatase C (EC 3.1.3.48) (Leukocyte common antigen) (L-CA) (T200) (CD antigen CD45)	1306	9606	PTPRC	Cell membrane {ECO:0000269|PubMed:12676959, ECO:0000269|PubMed:22174689}; Single-pass type I membrane protein {ECO:0000255}. Membrane raft {ECO:0000269|PubMed:12676959}. Note=Colocalized with DPP4 in membrane rafts. {ECO:0000269|PubMed:12676959}.	bleb [GO:0032059]; cell [GO:0005623]; cell surface [GO:0009986]; cytoplasmic side of plasma membrane [GO:0009898]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; membrane microdomain [GO:0098857]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]	Isoform 1: Detected in thymocytes. Isoform 2: Detected in thymocytes. Isoform 3: Detected in thymocytes. Isoform 4: Not detected in thymocytes. Isoform 5: Detected in thymocytes. Isoform 6: Not detected in thymocytes. Isoform 7: Detected in thymocytes. Isoform 8: Not detected in thymocytes. {ECO:0000269|PubMed:11975983}.	5788;	1YGR;1YGU;5FMV;5FN6;5FN7;	15	0.8659039318561554
