Uniprot_A	Uniprot_B	Interaction	Protein_A_idx	Protein_B_idx
P03372	Q96RI1	1	12	649
P00533	P29353	1	435	939
P35555	P98160	1	457	179
P01116	Q92748	1	1028	711
P13501	P49682	1	871	790
P08235	Q92786	1	703	893
P27986	P46108	1	122	879
P11802	P55789	1	226	59
P28482	P29353	1	701	939
P02679	P05106	1	880	229
P02786	P04626	1	832	223
P41252	P63104	1	51	399
P01106	P25440	1	756	571
P01106	Q00059	1	756	116
O00767	P00533	1	90	435
P01584	P23946	1	728	902
P05362	P60709	1	297	243
Q14289	Q99836	1	883	1016
P46108	Q06210	1	879	865
Q14457	Q9NYA1	1	306	328
P07550	P30279	1	846	889
O75475	P20810	1	1019	390
P02647	P27169	1	985	181
P00533	P41240	1	435	353
P31749	Q92748	1	0	711
P56945	Q06124	1	732	660
P01100	Q04760	1	757	493
P25445	P27986	1	570	122
P06401	P38398	1	157	697
P10997	P52945	1	185	373
P04792	P21673	1	628	312
P11021	P38398	1	1029	697
P04083	P29350	1	580	942
P10415	P42574	1	799	1033
P15090	P24666	1	158	784
Q04206	Q8N6T7	1	218	186
P56524	Q16665	1	644	1035
P09067	Q96EB6	1	854	86
P04637	P35354	1	523	291
P04626	P40189	1	223	714
P10275	P29353	1	79	939
P34947	Q8WXG6	1	160	287
P03372	P51843	1	12	436
Q04206	Q13490	1	218	682
P15090	Q05469	1	158	965
P09874	Q9NQB0	1	962	792
P04150	P14735	1	630	105
P01106	P24394	1	756	1005
P17096	P19320	1	454	85
P19367	Q13133	1	988	758
P06702	Q8N6T7	1	803	186
P12004	P26358	1	1031	941
P19532	P60900	1	587	1026
P01589	P19838	1	720	635
P29353	P41240	1	939	353
P12004	P24385	1	1031	280
P42345	Q8IZT6	1	920	233
P01019	P01042	1	134	566
Q12778	Q8WTS6	1	594	189
P24385	P40763	1	280	255
P04406	P14550	1	438	447
O14756	P54707	1	515	857
P10912	P46108	1	254	879
P05067	P09486	1	350	648
P21333	P25054	1	632	626
P35638	P98153	1	1021	923
P21333	P63104	1	632	399
O15120	P35414	1	415	188
O43474	Q04206	1	398	218
P00533	P08237	1	435	704
P01009	P11021	1	442	1029
O95477	P21980	1	881	278
O15524	Q99683	1	647	810
P14174	Q9H1Y0	1	492	96
P25490	Q07812	1	646	987
Q9UGJ0	Q9Y478	1	574	3
P04792	Q8NBP7	1	628	761
P01019	P23946	1	134	902
P08069	Q9NZN5	1	284	502
P05783	P38398	1	107	697
P09488	P25874	1	835	557
P24394	P29350	1	1005	942
P03372	P51812	1	12	825
P27986	P31749	1	122	0
P29474	P35222	1	412	459
P19320	P41252	1	85	51
P02751	P17931	1	443	123
O15055	P51449	1	495	905
P05067	P16671	1	350	521
O14901	P63104	1	387	399
P20333	Q01813	1	946	380
P09874	P10275	1	962	79
P09429	Q01860	1	542	776
P12955	Q9C0B1	1	958	393
P04406	P19838	1	438	635
P01100	P40189	1	757	714
O95477	P21333	1	881	632
P10809	P38398	1	668	697
P28482	P38398	1	701	697
P03372	Q16881	1	12	608
P04637	Q15466	1	523	331
